country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Switzerland,75.45926829,75.69317073,76.03390244,76.03121951,76.60853659,76.73365854,76.89902439,77.19756098,77.22658537,77.42121951,77.24243902,77.51463415,77.80609756,78.08536585,78.35,78.41707317,78.89609756,79.0795122,79.32439024,79.5804878,79.68048780000001,80.18048780000001,80.38536585,80.53658537,81.08780488,81.23658537,81.4902439,81.74146341,81.99268293,82.04390244,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,82.89756098,83.60243902,83.60243902
Channel Islands,73.439,73.668,73.89,74.101,74.3,74.486,74.66,74.829,75.00399999999999,75.192,75.41,75.673,75.988,76.351,76.755,77.184,77.616,78.028,78.406,78.742,79.03699999999999,79.3,79.548,79.795,80.045,80.298,80.553,80.80199999999999,81.041,81.268,81.483,81.688,81.883,82.071,82.25200000000001,82.429,82.6,82.766
Chile,69.033,69.655,70.23899999999999,70.782,71.282,71.737,72.148,72.524,72.872,73.19800000000001,73.509,73.808,74.1,74.38600000000001,74.671,74.957,75.244,75.53,75.813,76.092,76.366,76.634,76.89399999999999,77.146,77.391,77.63,77.865,78.09899999999999,78.33,78.558,78.779,78.986,79.176,79.34899999999999,79.50399999999999,79.646,79.779,79.90899999999999
China,66.844,67.26,67.627,67.949,68.23100000000001,68.473,68.673,68.831,68.954,69.054,69.145,69.242,69.355,69.49600000000001,69.67,69.885,70.14,70.428,70.737,71.063,71.39699999999999,71.732,72.061,72.381,72.689,72.985,73.271,73.553,73.835,74.119,74.40899999999999,74.708,75.013,75.321,75.62899999999999,75.928,76.21,76.47
Cote d'Ivoire,51.071999999999996,51.525,51.94,52.31399999999999,52.645,52.922,53.138999999999996,53.286,53.357,53.35,53.254,53.062,52.778999999999996,52.423,52.013000000000005,51.568999999999996,51.108999999999995,50.657,50.242,49.891000000000005,49.635,49.495,49.475,49.571999999999996,49.788000000000004,50.12,50.56100000000001,51.091,51.681999999999995,52.313,52.964,53.62,54.271,54.906000000000006,55.508,56.065,56.567,57.016999999999996
Cameroon,51.537,51.933,52.312,52.67,52.997,53.273,53.476000000000006,53.591,53.611000000000004,53.536,53.361999999999995,53.088,52.738,52.343,51.93600000000001,51.553999999999995,51.238,51.00899999999999,50.885,50.878,50.993,51.222,51.536,51.908,52.321000000000005,52.76,53.215,53.681000000000004,54.153,54.626999999999995,55.101000000000006,55.581,56.073,56.576,57.083,57.583,58.063,58.511
Democratic Republic of the Congo,46.363,46.651,46.937,47.208,47.461000000000006,47.705,47.955,48.221000000000004,48.501999999999995,48.787,49.043,49.225,49.31100000000001,49.302,49.22,49.111000000000004,49.04,49.066,49.233000000000004,49.556999999999995,50.041000000000004,50.667,51.385,52.144,52.917,53.675,54.401,55.091,55.743,56.35,56.909,57.427,57.913999999999994,58.381,58.828,59.254,59.655,60.026
Congo,54.226000000000006,54.506,54.76,54.978,55.15,55.26,55.294,55.247,55.119,54.917,54.638000000000005,54.281000000000006,53.867,53.424,52.983999999999995,52.583,52.251999999999995,52.016000000000005,51.898999999999994,51.925,52.123000000000005,52.516999999999996,53.091,53.817,54.667,55.6,56.573,57.541000000000004,58.466,59.321000000000005,60.093,60.785,61.423,62.022,62.582,63.097,63.556000000000004,63.95399999999999
Colombia,66.926,67.38,67.80199999999999,68.187,68.529,68.82300000000001,69.065,69.266,69.436,69.59100000000001,69.75,69.936,70.161,70.433,70.752,71.112,71.497,71.887,72.264,72.619,72.945,73.241,73.517,73.777,74.02600000000001,74.265,74.5,74.732,74.962,75.193,75.42399999999999,75.655,75.882,76.105,76.322,76.531,76.732,76.925
Comoros,50.615,51.265,51.925,52.58,53.221000000000004,53.843,54.446000000000005,55.033,55.605,56.153999999999996,56.677,57.168,57.623000000000005,58.038000000000004,58.407,58.722,58.972,59.16,59.294,59.388000000000005,59.46,59.528999999999996,59.617,59.738,59.903999999999996,60.126000000000005,60.407,60.733999999999995,61.093999999999994,61.475,61.861999999999995,62.24,62.595,62.922,63.214,63.471000000000004,63.7,63.912
