,0,Unnamed: 0,Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
8070,8070,14250,2008HepbbIndia,India,2008,Hepbb,ROSA,8,2149000,26858000,1310152403
8356,8356,14776,2008HepbbIraq,Iraq,2008,Hepbb,MENA,92,889000,966000,35572261
8686,8686,15149,2008HepbbIsrael,Israel,2008,Hepbb,Industrialized,99,148000,149000,8380100
9104,9104,16058,2008HepbbKazakhstan,Kazakhstan,2008,Hepbb,CEECIS,95,327000,344000,17542806
9522,9522,16450,2008HepbbKiribati,Kiribati,2008,Hepbb,EAPR,59,2000,3000,110930
9940,9940,16653,2008HepbbKuwait,Kuwait,2008,Hepbb,MENA,99,55000,56000,3835591
10160,10160,17208,2008HepbbLatvia,Latvia,2008,Hepbb,Industrialized,98,22000,23000,1977527
10578,10578,17416,2008HepbbLebanon,Lebanon,2008,Hepbb,MENA,94,73000,78000,6532678
10996,10996,18126,2008HepbbLithuania,Lithuania,2008,Hepbb,Industrialized,92,29000,31000,2904910
11414,11414,18836,2008HepbbMalaysia,Malaysia,2008,Hepbb,EAPR,99,471000,476000,30270962
12074,12074,20750,2008HepbbMongolia,Mongolia,2008,Hepbb,EAPR,94,57000,61000,2998439
12844,12844,23321,2008HepbbOman,Oman,2008,Hepbb,MENA,99,62000,62000,4267348
13262,13262,23930,2008HepbbPanama,Panama,2008,Hepbb,LACR,80,60000,76000,3968487
13658,13658,24129,2008HepbbPapua New Guinea,Papua New Guinea,2008,Hepbb,EAPR,27,58000,216000,8107775
13944,13944,24542,2008HepbbPeru,Peru,2008,Hepbb,LACR,79,485000,615000,30470734
14296,14296,24753,2008HepbbPhilippines,Philippines,2008,Hepbb,EAPR,21,494000,2352000,102113212
14560,14560,24928,2008HepbbPoland,Poland,2008,Hepbb,Industrialized,93,368000,396000,37986412
14978,14978,25134,2008HepbbPortugal,Portugal,2008,Hepbb,Industrialized,95,96000,101000,10358076
15396,15396,25371,2008HepbbQatar,Qatar,2008,Hepbb,MENA,94,17000,18000,2565710
15814,15814,26170,2008HepbbRomania,Romania,2008,Hepbb,CEECIS,99,220000,222000,19815481
16232,16232,27288,2008HepbbSamoa,Samoa,2008,Hepbb,EAPR,68,4000,5000,193513
16650,16650,27841,2008HepbbSaudi Arabia,Saudi Arabia,2008,Hepbb,MENA,98,588000,600000,31717667
17112,17112,28239,2008HepbbSerbia,Serbia,2008,Hepbb,CEECIS,99,97000,98000,7095383
17442,17442,28790,2008HepbbSingapore,Singapore,2008,Hepbb,EAPR,71,34000,48000,5535002
17794,17794,29339,2008HepbbSolomon Islands,Solomon Islands,2008,Hepbb,EAPR,80,14000,17000,603118
18190,18190,30606,2008HepbbSuriname,Suriname,2008,Hepbb,LACR,69,8000,11000,559143
18476,18476,31329,2008HepbbTajikistan,Tajikistan,2008,Hepbb,CEECIS,85,190000,224000,8454028
18960,18960,31967,2008HepbbTonga,Tonga,2008,Hepbb,EAPR,88,3000,3000,100781
19378,19378,32362,2008HepbbTunisia,Tunisia,2008,Hepbb,MENA,92,166000,181000,11179949
19642,19642,32562,2008HepbbTurkey,Turkey,2008,Hepbb,CEECIS,96,1255000,1307000,78529409
19994,19994,32750,2008HepbbTurkmenistan,Turkmenistan,2008,Hepbb,CEECIS,99,118000,120000,5565287
20368,20368,33285,2008HepbbUkraine,Ukraine,2008,Hepbb,CEECIS,82,395000,481000,45154029
20764,20764,33500,2008HepbbUnited Arab Emirates,United Arab Emirates,2008,Hepbb,MENA,98,84000,86000,9262900
21182,21182,34045,2008HepbbUnited States,United States,2008,Hepbb,Industrialized,55,2276000,4139000,320742673
21556,21556,34445,2008HepbbUzbekistan,Uzbekistan,2008,Hepbb,CEECIS,99,614000,621000,31298900
349,349,277,2008HepbbAlbania,Albania,2008,Hepbb,CEECIS,98,35000,36000,2876101
767,767,473,2008HepbbAlgeria,Algeria,2008,Hepbb,MENA,99,803000,811000,40551404
1097,1097,1200,2008HepbbArgentina,Argentina,2008,Hepbb,LACR,79,582000,736000,43590368
1427,1427,1416,2008HepbbArmenia,Armenia,2008,Hepbb,CEECIS,91,40000,44000,2936146
1845,1845,1982,2008HepbbAzerbaijan,Azerbaijan,2008,Hepbb,CEECIS,92,139000,151000,9757812
2307,2307,2886,2008HepbbBelarus,Belarus,2008,Hepbb,CEECIS,98,102000,104000,9501534
2813,2813,4382,2008HepbbBrazil,Brazil,2008,Hepbb,LACR,93,2843000,3057000,206163058
3231,3231,4604,2008HepbbBrunei Darussalam,Brunei Darussalam,2008,Hepbb,EAPR,99,7000,7000,419800
3649,3649,4822,2008HepbbBulgaria,Bulgaria,2008,Hepbb,CEECIS,98,74000,75000,7127822
4067,4067,5361,2008HepbbCabo Verde,Cabo Verde,2008,Hepbb,WCAR,81,9000,11000,531146
4441,4441,5534,2008HepbbCambodia,Cambodia,2008,Hepbb,EAPR,43,155000,361000,15766293
4705,4705,6541,2008HepbbChina,China,2008,Hepbb,EAPR,91,15771000,17331000,1378665000
5079,5079,7460,2008HepbbCosta Rica,Costa Rica,2008,Hepbb,LACR,87,62000,72000,4899345
5563,5563,8021,2008HepbbCuba,Cuba,2008,Hepbb,LACR,99,124000,125000,11335109
6135,6135,9404,2008HepbbDominican Republic,Dominican Republic,2008,Hepbb,LACR,54,112000,207000,10397743
6773,6773,11015,2008HepbbFiji,Fiji,2008,Hepbb,EAPR,90,17000,19000,872399
7169,7169,11935,2008HepbbGeorgia,Georgia,2008,Hepbb,CEECIS,99,54000,55000,3727505
7807,7807,13730,2008HepbbHonduras,Honduras,2008,Hepbb,LACR,61,129000,212000,9270795
8071,8071,14250,2008HepbbIndia,India,2008,Hepbb,ROSA,8,2149000,26858000,1324509589
8357,8357,14776,2008HepbbIraq,Iraq,2008,Hepbb,MENA,92,889000,966000,36610632
8687,8687,15149,2008HepbbIsrael,Israel,2008,Hepbb,Industrialized,99,148000,149000,8546000
9105,9105,16058,2008HepbbKazakhstan,Kazakhstan,2008,Hepbb,CEECIS,95,327000,344000,17794055
9523,9523,16450,2008HepbbKiribati,Kiribati,2008,Hepbb,EAPR,59,2000,3000,112524
9941,9941,16653,2008HepbbKuwait,Kuwait,2008,Hepbb,MENA,99,55000,56000,3956873
10161,10161,17208,2008HepbbLatvia,Latvia,2008,Hepbb,Industrialized,98,22000,23000,1959537
10579,10579,17416,2008HepbbLebanon,Lebanon,2008,Hepbb,MENA,94,73000,78000,6711121
10997,10997,18126,2008HepbbLithuania,Lithuania,2008,Hepbb,Industrialized,92,29000,31000,2868231
11415,11415,18836,2008HepbbMalaysia,Malaysia,2008,Hepbb,EAPR,99,471000,476000,30684804
12075,12075,20750,2008HepbbMongolia,Mongolia,2008,Hepbb,EAPR,94,57000,61000,3056359
12845,12845,23321,2008HepbbOman,Oman,2008,Hepbb,MENA,99,62000,62000,4479219
13263,13263,23930,2008HepbbPanama,Panama,2008,Hepbb,LACR,80,60000,76000,4037078
13659,13659,24129,2008HepbbPapua New Guinea,Papua New Guinea,2008,Hepbb,EAPR,27,58000,216000,8271760
13945,13945,24542,2008HepbbPeru,Peru,2008,Hepbb,LACR,79,485000,615000,30926032
14297,14297,24753,2008HepbbPhilippines,Philippines,2008,Hepbb,EAPR,21,494000,2352000,103663927
14561,14561,24928,2008HepbbPoland,Poland,2008,Hepbb,Industrialized,93,368000,396000,37970087
14979,14979,25134,2008HepbbPortugal,Portugal,2008,Hepbb,Industrialized,95,96000,101000,10325452
15397,15397,25371,2008HepbbQatar,Qatar,2008,Hepbb,MENA,94,17000,18000,2654374
15815,15815,26170,2008HepbbRomania,Romania,2008,Hepbb,CEECIS,99,220000,222000,19702332
16233,16233,27288,2008HepbbSamoa,Samoa,2008,Hepbb,EAPR,68,4000,5000,194535
16651,16651,27841,2008HepbbSaudi Arabia,Saudi Arabia,2008,Hepbb,MENA,98,588000,600000,32442572
17113,17113,28239,2008HepbbSerbia,Serbia,2008,Hepbb,CEECIS,99,97000,98000,7058322
17443,17443,28790,2008HepbbSingapore,Singapore,2008,Hepbb,EAPR,71,34000,48000,5607283
17795,17795,29339,2008HepbbSolomon Islands,Solomon Islands,2008,Hepbb,EAPR,80,14000,17000,619437
18191,18191,30606,2008HepbbSuriname,Suriname,2008,Hepbb,LACR,69,8000,11000,564888
18477,18477,31329,2008HepbbTajikistan,Tajikistan,2008,Hepbb,CEECIS,85,190000,224000,8663579
18961,18961,31967,2008HepbbTonga,Tonga,2008,Hepbb,EAPR,88,3000,3000,101133
19379,19379,32362,2008HepbbTunisia,Tunisia,2008,Hepbb,MENA,92,166000,181000,11303946
19643,19643,32562,2008HepbbTurkey,Turkey,2008,Hepbb,CEECIS,96,1255000,1307000,79821724
19995,19995,32750,2008HepbbTurkmenistan,Turkmenistan,2008,Hepbb,CEECIS,99,118000,120000,5662372
20369,20369,33285,2008HepbbUkraine,Ukraine,2008,Hepbb,CEECIS,82,395000,481000,45004645
20765,20765,33500,2008HepbbUnited Arab Emirates,United Arab Emirates,2008,Hepbb,MENA,98,84000,86000,9360980
21183,21183,34045,2008HepbbUnited States,United States,2008,Hepbb,Industrialized,55,2276000,4139000,323071342
21557,21557,34445,2008HepbbUzbekistan,Uzbekistan,2008,Hepbb,CEECIS,99,614000,621000,31847900
350,350,277,2008HepbbAlbania,Albania,2008,Hepbb,CEECIS,98,35000,36000,2873457
768,768,473,2008HepbbAlgeria,Algeria,2008,Hepbb,MENA,99,803000,811000,41389198
1098,1098,1200,2008HepbbArgentina,Argentina,2008,Hepbb,LACR,79,582000,736000,44044811
1428,1428,1416,2008HepbbArmenia,Armenia,2008,Hepbb,CEECIS,91,40000,44000,2944809
1846,1846,1982,2008HepbbAzerbaijan,Azerbaijan,2008,Hepbb,CEECIS,92,139000,151000,9854033
2308,2308,2886,2008HepbbBelarus,Belarus,2008,Hepbb,CEECIS,98,102000,104000,9498264
2814,2814,4382,2008HepbbBrazil,Brazil,2008,Hepbb,LACR,93,2843000,3057000,207833831
3232,3232,4604,2008HepbbBrunei Darussalam,Brunei Darussalam,2008,Hepbb,EAPR,99,7000,7000,424473
3650,3650,4822,2008HepbbBulgaria,Bulgaria,2008,Hepbb,CEECIS,98,74000,75000,7075947
4068,4068,5361,2008HepbbCabo Verde,Cabo Verde,2008,Hepbb,WCAR,81,9000,11000,537497
4442,4442,5534,2008HepbbCambodia,Cambodia,2008,Hepbb,EAPR,43,155000,361000,16009414
4706,4706,6541,2008HepbbChina,China,2008,Hepbb,EAPR,91,15771000,17331000,1386395000
5080,5080,7460,2008HepbbCosta Rica,Costa Rica,2008,Hepbb,LACR,87,62000,72000,4949954
5564,5564,8021,2008HepbbCuba,Cuba,2008,Hepbb,LACR,99,124000,125000,11339259
6136,6136,9404,2008HepbbDominican Republic,Dominican Republic,2008,Hepbb,LACR,54,112000,207000,10513131
6774,6774,11015,2008HepbbFiji,Fiji,2008,Hepbb,EAPR,90,17000,19000,877459
7170,7170,11935,2008HepbbGeorgia,Georgia,2008,Hepbb,CEECIS,99,54000,55000,3728004
7808,7808,13730,2008HepbbHonduras,Honduras,2008,Hepbb,LACR,61,129000,212000,9429013
8072,8072,14250,2008HepbbIndia,India,2008,Hepbb,ROSA,8,2149000,26858000,1338658835
8358,8358,14776,2008HepbbIraq,Iraq,2008,Hepbb,MENA,92,889000,966000,37552781
8688,8688,15149,2008HepbbIsrael,Israel,2008,Hepbb,Industrialized,99,148000,149000,8713300
9106,9106,16058,2008HepbbKazakhstan,Kazakhstan,2008,Hepbb,CEECIS,95,327000,344000,18037776
9524,9524,16450,2008HepbbKiribati,Kiribati,2008,Hepbb,EAPR,59,2000,3000,114158
9942,9942,16653,2008HepbbKuwait,Kuwait,2008,Hepbb,MENA,99,55000,56000,4056097
10162,10162,17208,2008HepbbLatvia,Latvia,2008,Hepbb,Industrialized,98,22000,23000,1942248
10580,10580,17416,2008HepbbLebanon,Lebanon,2008,Hepbb,MENA,94,73000,78000,6811873
10998,10998,18126,2008HepbbLithuania,Lithuania,2008,Hepbb,Industrialized,92,29000,31000,2828403
11416,11416,18836,2008HepbbMalaysia,Malaysia,2008,Hepbb,EAPR,99,471000,476000,31105028
12076,12076,20750,2008HepbbMongolia,Mongolia,2008,Hepbb,EAPR,94,57000,61000,3113779
12846,12846,23321,2008HepbbOman,Oman,2008,Hepbb,MENA,99,62000,62000,4665935
13264,13264,23930,2008HepbbPanama,Panama,2008,Hepbb,LACR,80,60000,76000,4106771
13660,13660,24129,2008HepbbPapua New Guinea,Papua New Guinea,2008,Hepbb,EAPR,27,58000,216000,8438029
13946,13946,24542,2008HepbbPeru,Peru,2008,Hepbb,LACR,79,485000,615000,31444297
14298,14298,24753,2008HepbbPhilippines,Philippines,2008,Hepbb,EAPR,21,494000,2352000,105173264
14562,14562,24928,2008HepbbPoland,Poland,2008,Hepbb,Industrialized,93,368000,396000,37974826
14980,14980,25134,2008HepbbPortugal,Portugal,2008,Hepbb,Industrialized,95,96000,101000,10300300
15398,15398,25371,2008HepbbQatar,Qatar,2008,Hepbb,MENA,94,17000,18000,2724724
15816,15816,26170,2008HepbbRomania,Romania,2008,Hepbb,CEECIS,99,220000,222000,19587491
16234,16234,27288,2008HepbbSamoa,Samoa,2008,Hepbb,EAPR,68,4000,5000,195352
16652,16652,27841,2008HepbbSaudi Arabia,Saudi Arabia,2008,Hepbb,MENA,98,588000,600000,33099147
17114,17114,28239,2008HepbbSerbia,Serbia,2008,Hepbb,CEECIS,99,97000,98000,7020858
17444,17444,28790,2008HepbbSingapore,Singapore,2008,Hepbb,EAPR,71,34000,48000,5612253
17796,17796,29339,2008HepbbSolomon Islands,Solomon Islands,2008,Hepbb,EAPR,80,14000,17000,636038
18192,18192,30606,2008HepbbSuriname,Suriname,2008,Hepbb,LACR,69,8000,11000,570496
18478,18478,31329,2008HepbbTajikistan,Tajikistan,2008,Hepbb,CEECIS,85,190000,224000,8880268
18962,18962,31967,2008HepbbTonga,Tonga,2008,Hepbb,EAPR,88,3000,3000,101998
19380,19380,32362,2008HepbbTunisia,Tunisia,2008,Hepbb,MENA,92,166000,181000,11433443
19644,19644,32562,2008HepbbTurkey,Turkey,2008,Hepbb,CEECIS,96,1255000,1307000,81101892
19996,19996,32750,2008HepbbTurkmenistan,Turkmenistan,2008,Hepbb,CEECIS,99,118000,120000,5757669
20370,20370,33285,2008HepbbUkraine,Ukraine,2008,Hepbb,CEECIS,82,395000,481000,44831135
20766,20766,33500,2008HepbbUnited Arab Emirates,United Arab Emirates,2008,Hepbb,MENA,98,84000,86000,9487203
21184,21184,34045,2008HepbbUnited States,United States,2008,Hepbb,Industrialized,55,2276000,4139000,325147121
21558,21558,34445,2008HepbbUzbekistan,Uzbekistan,2008,Hepbb,CEECIS,99,614000,621000,32388600
351,351,277,2008HepbbAlbania,Albania,2008,Hepbb,CEECIS,98,35000,36000,2866376
769,769,473,2008HepbbAlgeria,Algeria,2008,Hepbb,MENA,99,803000,811000,42228429
1099,1099,1200,2008HepbbArgentina,Argentina,2008,Hepbb,LACR,79,582000,736000,44494502
1429,1429,1416,2008HepbbArmenia,Armenia,2008,Hepbb,CEECIS,91,40000,44000,2951776
1847,1847,1982,2008HepbbAzerbaijan,Azerbaijan,2008,Hepbb,CEECIS,92,139000,151000,9942334
2309,2309,2886,2008HepbbBelarus,Belarus,2008,Hepbb,CEECIS,98,102000,104000,9485386
2815,2815,4382,2008HepbbBrazil,Brazil,2008,Hepbb,LACR,93,2843000,3057000,209469333
3233,3233,4604,2008HepbbBrunei Darussalam,Brunei Darussalam,2008,Hepbb,EAPR,99,7000,7000,428962
3651,3651,4822,2008HepbbBulgaria,Bulgaria,2008,Hepbb,CEECIS,98,74000,75000,7024216
4069,4069,5361,2008HepbbCabo Verde,Cabo Verde,2008,Hepbb,WCAR,81,9000,11000,543767
4443,4443,5534,2008HepbbCambodia,Cambodia,2008,Hepbb,EAPR,43,155000,361000,16249798
4707,4707,6541,2008HepbbChina,China,2008,Hepbb,EAPR,91,15771000,17331000,1392730000
5081,5081,7460,2008HepbbCosta Rica,Costa Rica,2008,Hepbb,LACR,87,62000,72000,4999441
5565,5565,8021,2008HepbbCuba,Cuba,2008,Hepbb,LACR,99,124000,125000,11338138
6137,6137,9404,2008HepbbDominican Republic,Dominican Republic,2008,Hepbb,LACR,54,112000,207000,10627165
6775,6775,11015,2008HepbbFiji,Fiji,2008,Hepbb,EAPR,90,17000,19000,883483
7171,7171,11935,2008HepbbGeorgia,Georgia,2008,Hepbb,CEECIS,99,54000,55000,3731000
7809,7809,13730,2008HepbbHonduras,Honduras,2008,Hepbb,LACR,61,129000,212000,9587522
8073,8073,14250,2008HepbbIndia,India,2008,Hepbb,ROSA,8,2149000,26858000,1352617328
8359,8359,14776,2008HepbbIraq,Iraq,2008,Hepbb,MENA,92,889000,966000,38433600
8689,8689,15149,2008HepbbIsrael,Israel,2008,Hepbb,Industrialized,99,148000,149000,8883800
9107,9107,16058,2008HepbbKazakhstan,Kazakhstan,2008,Hepbb,CEECIS,95,327000,344000,18276499
9525,9525,16450,2008HepbbKiribati,Kiribati,2008,Hepbb,EAPR,59,2000,3000,115847
9943,9943,16653,2008HepbbKuwait,Kuwait,2008,Hepbb,MENA,99,55000,56000,4137309
10163,10163,17208,2008HepbbLatvia,Latvia,2008,Hepbb,Industrialized,98,22000,23000,1926542
10581,10581,17416,2008HepbbLebanon,Lebanon,2008,Hepbb,MENA,94,73000,78000,6848925
10999,10999,18126,2008HepbbLithuania,Lithuania,2008,Hepbb,Industrialized,92,29000,31000,2789533
11417,11417,18836,2008HepbbMalaysia,Malaysia,2008,Hepbb,EAPR,99,471000,476000,31528585
12077,12077,20750,2008HepbbMongolia,Mongolia,2008,Hepbb,EAPR,94,57000,61000,3170208
12847,12847,23321,2008HepbbOman,Oman,2008,Hepbb,MENA,99,62000,62000,4829483
13265,13265,23930,2008HepbbPanama,Panama,2008,Hepbb,LACR,80,60000,76000,4176873
13661,13661,24129,2008HepbbPapua New Guinea,Papua New Guinea,2008,Hepbb,EAPR,27,58000,216000,8606316
13947,13947,24542,2008HepbbPeru,Peru,2008,Hepbb,LACR,79,485000,615000,31989256
14299,14299,24753,2008HepbbPhilippines,Philippines,2008,Hepbb,EAPR,21,494000,2352000,106651922
14563,14563,24928,2008HepbbPoland,Poland,2008,Hepbb,Industrialized,93,368000,396000,37978548
14981,14981,25134,2008HepbbPortugal,Portugal,2008,Hepbb,Industrialized,95,96000,101000,10281762
15399,15399,25371,2008HepbbQatar,Qatar,2008,Hepbb,MENA,94,17000,18000,2781677
15817,15817,26170,2008HepbbRomania,Romania,2008,Hepbb,CEECIS,99,220000,222000,19473936
16235,16235,27288,2008HepbbSamoa,Samoa,2008,Hepbb,EAPR,68,4000,5000,196130
16653,16653,27841,2008HepbbSaudi Arabia,Saudi Arabia,2008,Hepbb,MENA,98,588000,600000,33699947
17115,17115,28239,2008HepbbSerbia,Serbia,2008,Hepbb,CEECIS,99,97000,98000,6982084
17445,17445,28790,2008HepbbSingapore,Singapore,2008,Hepbb,EAPR,71,34000,48000,5638676
17797,17797,29339,2008HepbbSolomon Islands,Solomon Islands,2008,Hepbb,EAPR,80,14000,17000,652858
18193,18193,30606,2008HepbbSuriname,Suriname,2008,Hepbb,LACR,69,8000,11000,575991
18479,18479,31329,2008HepbbTajikistan,Tajikistan,2008,Hepbb,CEECIS,85,190000,224000,9100837
18963,18963,31967,2008HepbbTonga,Tonga,2008,Hepbb,EAPR,88,3000,3000,103197
19381,19381,32362,2008HepbbTunisia,Tunisia,2008,Hepbb,MENA,92,166000,181000,11565204
19645,19645,32562,2008HepbbTurkey,Turkey,2008,Hepbb,CEECIS,96,1255000,1307000,82319724
19997,19997,32750,2008HepbbTurkmenistan,Turkmenistan,2008,Hepbb,CEECIS,99,118000,120000,5850908
20371,20371,33285,2008HepbbUkraine,Ukraine,2008,Hepbb,CEECIS,82,395000,481000,44622516
20767,20767,33500,2008HepbbUnited Arab Emirates,United Arab Emirates,2008,Hepbb,MENA,98,84000,86000,9630959
21185,21185,34045,2008HepbbUnited States,United States,2008,Hepbb,Industrialized,55,2276000,4139000,327167434
21559,21559,34445,2008HepbbUzbekistan,Uzbekistan,2008,Hepbb,CEECIS,99,614000,621000,32955400
308,308,267,2009HepbbAlbania,Albania,2009,Hepbb,CEECIS,98,35000,36000,3148281
726,726,464,2009HepbbAlgeria,Algeria,2009,Hepbb,MENA,99,841000,849000,29742979
1056,1056,1189,2009HepbbArgentina,Argentina,2009,Hepbb,LACR,81,599000,740000,35657429
1386,1386,1407,2009HepbbArmenia,Armenia,2009,Hepbb,CEECIS,92,41000,44000,3133089
1804,1804,1973,2009HepbbAzerbaijan,Azerbaijan,2009,Hepbb,CEECIS,95,150000,158000,7838250
2266,2266,2876,2009HepbbBelarus,Belarus,2009,Hepbb,CEECIS,98,105000,107000,10117000
2772,2772,4370,2009HepbbBrazil,Brazil,2009,Hepbb,LACR,92,2783000,3025000,167209040
3190,3190,4594,2009HepbbBrunei Darussalam,Brunei Darussalam,2009,Hepbb,EAPR,99,7000,7000,311958
3608,3608,4813,2009HepbbBulgaria,Bulgaria,2009,Hepbb,CEECIS,98,73000,75000,8312068
4026,4026,5354,2009HepbbCabo Verde,Cabo Verde,2009,Hepbb,WCAR,91,10000,11000,404259
4400,4400,5527,2009HepbbCambodia,Cambodia,2009,Hepbb,EAPR,52,189000,364000,11298600
4664,4664,6533,2009HepbbChina,China,2009,Hepbb,EAPR,93,16213000,17433000,1230075000
5038,5038,7449,2009HepbbCosta Rica,Costa Rica,2009,Hepbb,LACR,87,62000,72000,3718949
5522,5522,8011,2009HepbbCuba,Cuba,2009,Hepbb,LACR,99,124000,125000,10989732
6094,6094,9395,2009HepbbDominican Republic,Dominican Republic,2009,Hepbb,LACR,58,120000,207000,8084407
6732,6732,11005,2009HepbbFiji,Fiji,2009,Hepbb,EAPR,90,17000,19000,792736
7128,7128,11926,2009HepbbGeorgia,Georgia,2009,Hepbb,CEECIS,73,41000,56000,4349913
7766,7766,13720,2009HepbbHonduras,Honduras,2009,Hepbb,LACR,72,151000,210000,6045699
8030,8030,14243,2009HepbbIndia,India,2009,Hepbb,ROSA,8,2117000,26457000,1000900030
8316,8316,14767,2009HepbbIraq,Iraq,2009,Hepbb,MENA,60,594000,990000,21439574
8646,8646,15140,2009HepbbIsrael,Israel,2009,Hepbb,Industrialized,98,150000,153000,5836000
9064,9064,16048,2009HepbbKazakhstan,Kazakhstan,2009,Hepbb,CEECIS,97,347000,358000,15333703
9482,9482,16440,2009HepbbKiribati,Kiribati,2009,Hepbb,EAPR,52,2000,3000,80187
9900,9900,16642,2009HepbbKuwait,Kuwait,2009,Hepbb,MENA,99,57000,57000,1710256
10120,10120,17198,2009HepbbLatvia,Latvia,2009,Hepbb,Industrialized,97,22000,22000,2432851
10538,10538,17407,2009HepbbLebanon,Lebanon,2009,Hepbb,MENA,91,74000,82000,3658424
10956,10956,18116,2009HepbbLithuania,Lithuania,2009,Hepbb,Industrialized,98,31000,32000,3575137
11374,11374,18826,2009HepbbMalaysia,Malaysia,2009,Hepbb,EAPR,95,456000,480000,21562793
12034,12034,20740,2009HepbbMongolia,Mongolia,2009,Hepbb,EAPR,98,63000,64000,2335734
12804,12804,23310,2009HepbbOman,Oman,2009,Hepbb,MENA,99,65000,65000,2249762
13222,13222,23919,2009HepbbPanama,Panama,2009,Hepbb,LACR,78,59000,76000,2853913
13618,13618,24121,2009HepbbPapua New Guinea,Papua New Guinea,2009,Hepbb,EAPR,26,56000,217000,5446641
13904,13904,24529,2009HepbbPeru,Peru,2009,Hepbb,LACR,71,431000,608000,25210954
14256,14256,24745,2009HepbbPhilippines,Philippines,2009,Hepbb,EAPR,34,801000,2355000,73030884
14520,14520,24918,2009HepbbPoland,Poland,2009,Hepbb,Industrialized,93,369000,397000,38649660
14938,14938,25124,2009HepbbPortugal,Portugal,2009,Hepbb,Industrialized,95,94000,99000,10108977
15356,15356,25359,2009HepbbQatar,Qatar,2009,Hepbb,MENA,94,18000,19000,535321
15774,15774,26161,2009HepbbRomania,Romania,2009,Hepbb,CEECIS,97,213000,220000,22553978
16192,16192,27278,2009HepbbSamoa,Samoa,2009,Hepbb,EAPR,62,3000,5000,172068
16610,16610,27830,2009HepbbSaudi Arabia,Saudi Arabia,2009,Hepbb,MENA,98,594000,606000,19407142
17072,17072,28229,2009HepbbSerbia,Serbia,2009,Hepbb,CEECIS,99,94000,95000,7596501
17402,17402,28780,2009HepbbSingapore,Singapore,2009,Hepbb,EAPR,69,34000,49000,3796038
17754,17754,29331,2009HepbbSolomon Islands,Solomon Islands,2009,Hepbb,EAPR,71,12000,18000,379999
18150,18150,30597,2009HepbbSuriname,Suriname,2009,Hepbb,LACR,36,4000,11000,454161
18436,18436,31319,2009HepbbTajikistan,Tajikistan,2009,Hepbb,CEECIS,97,224000,231000,5938405
18920,18920,31957,2009HepbbTonga,Tonga,2009,Hepbb,EAPR,88,3000,3000,96619
19338,19338,32354,2009HepbbTunisia,Tunisia,2009,Hepbb,MENA,88,164000,187000,9395123
19602,19602,32551,2009HepbbTurkey,Turkey,2009,Hepbb,CEECIS,96,1252000,1304000,60372568
19954,19954,32741,2009HepbbTurkmenistan,Turkmenistan,2009,Hepbb,CEECIS,99,123000,125000,4355116
20328,20328,33275,2009HepbbUkraine,Ukraine,2009,Hepbb,CEECIS,73,358000,491000,50594105
20724,20724,33490,2009HepbbUnited Arab Emirates,United Arab Emirates,2009,Hepbb,MENA,98,88000,90000,2671362
21142,21142,34034,2009HepbbUnited States,United States,2009,Hepbb,Industrialized,61,2508000,4112000,272657000
21516,21516,34435,2009HepbbUzbekistan,Uzbekistan,2009,Hepbb,CEECIS,99,631000,637000,23667000
309,309,267,2009HepbbAlbania,Albania,2009,Hepbb,CEECIS,98,35000,36000,3128530
727,727,464,2009HepbbAlgeria,Algeria,2009,Hepbb,MENA,99,841000,849000,30192754
1057,1057,1189,2009HepbbArgentina,Argentina,2009,Hepbb,LACR,81,599000,740000,36063459
1387,1387,1407,2009HepbbArmenia,Armenia,2009,Hepbb,CEECIS,92,41000,44000,3108687
1805,1805,1973,2009HepbbAzerbaijan,Azerbaijan,2009,Hepbb,CEECIS,95,150000,158000,7913000
2267,2267,2876,2009HepbbBelarus,Belarus,2009,Hepbb,CEECIS,98,105000,107000,10069000
2773,2773,4370,2009HepbbBrazil,Brazil,2009,Hepbb,LACR,92,2783000,3025000,169785250
3191,3191,4594,2009HepbbBrunei Darussalam,Brunei Darussalam,2009,Hepbb,EAPR,99,7000,7000,319144
3609,3609,4813,2009HepbbBulgaria,Bulgaria,2009,Hepbb,CEECIS,98,73000,75000,8256786
4027,4027,5354,2009HepbbCabo Verde,Cabo Verde,2009,Hepbb,WCAR,91,10000,11000,412514
4401,4401,5527,2009HepbbCambodia,Cambodia,2009,Hepbb,EAPR,52,189000,364000,11600508
4665,4665,6533,2009HepbbChina,China,2009,Hepbb,EAPR,93,16213000,17433000,1241935000
5039,5039,7449,2009HepbbCosta Rica,Costa Rica,2009,Hepbb,LACR,87,62000,72000,3803887
5523,5523,8011,2009HepbbCuba,Cuba,2009,Hepbb,LACR,99,124000,125000,11038692
6095,6095,9395,2009HepbbDominican Republic,Dominican Republic,2009,Hepbb,LACR,58,120000,207000,8214426
6733,6733,11005,2009HepbbFiji,Fiji,2009,Hepbb,EAPR,90,17000,19000,800157
7129,7129,11926,2009HepbbGeorgia,Georgia,2009,Hepbb,CEECIS,73,41000,56000,4243607
7767,7767,13720,2009HepbbHonduras,Honduras,2009,Hepbb,LACR,72,151000,210000,6220406
8031,8031,14243,2009HepbbIndia,India,2009,Hepbb,ROSA,8,2117000,26457000,1019483581
