,0,Unnamed: 0,Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
2974,2974,4473,2000HepbbBrazil,Brazil,2000,Hepbb,LACR,99,3479000,3514000,177196054
3392,3392,4683,2000HepbbBrunei Darussalam,Brunei Darussalam,2000,Hepbb,EAPR,99,7000,8000,340034
3810,3810,4894,2000HepbbBulgaria,Bulgaria,2000,Hepbb,CEECIS,98,64000,65000,8009142
5724,5724,8097,2000HepbbCuba,Cuba,2000,Hepbb,LACR,99,144000,145000,11164667
8848,8848,15221,2000HepbbIsrael,Israel,2000,Hepbb,Industrialized,96,121000,126000,6439000
9266,9266,16128,2000HepbbKazakhstan,Kazakhstan,2000,Hepbb,CEECIS,98,232000,236000,14858335
9684,9684,16512,2000HepbbKiribati,Kiribati,2000,Hepbb,EAPR,80,2000,3000,85849
10102,10102,16724,2000HepbbKuwait,Kuwait,2000,Hepbb,MENA,94,42000,44000,2103282
10322,10322,17288,2000HepbbLatvia,Latvia,2000,Hepbb,Industrialized,98,19000,19000,2337170
10740,10740,17486,2000HepbbLebanon,Lebanon,2000,Hepbb,MENA,90,75000,84000,3991001
11158,11158,18206,2000HepbbLithuania,Lithuania,2000,Hepbb,Industrialized,99,33000,33000,3470818
11576,11576,18909,2000HepbbMalaysia,Malaysia,2000,Hepbb,EAPR,92,467000,508000,23709119
12236,12236,20818,2000HepbbMongolia,Mongolia,2000,Hepbb,EAPR,96,44000,46000,2419588
13006,13006,23400,2000HepbbOman,Oman,2000,Hepbb,MENA,99,55000,56000,2294962
14722,14722,25004,2000HepbbPoland,Poland,2000,Hepbb,Industrialized,95,359000,378000,38248076
15140,15140,25214,2000HepbbPortugal,Portugal,2000,Hepbb,Industrialized,64,72000,113000,10362722
15558,15558,25450,2000HepbbQatar,Qatar,2000,Hepbb,MENA,99,12000,12000,615012
15976,15976,26241,2000HepbbRomania,Romania,2000,Hepbb,CEECIS,99,214000,217000,22131970
16394,16394,27357,2000HepbbSamoa,Samoa,2000,Hepbb,EAPR,86,5000,5000,175392
19122,19122,32040,2000HepbbTonga,Tonga,2000,Hepbb,EAPR,89,2000,3000,98487
20926,20926,33580,2000HepbbUnited Arab Emirates,United Arab Emirates,2000,Hepbb,MENA,98,52000,53000,3302719
511,511,349,2000HepbbAlbania,Albania,2000,Hepbb,CEECIS,98,50000,51000,3051010
1589,1589,1487,2000HepbbArmenia,Armenia,2000,Hepbb,CEECIS,97,38000,40000,3033978
2975,2975,4473,2000HepbbBrazil,Brazil,2000,Hepbb,LACR,99,3479000,3514000,179537520
3393,3393,4683,2000HepbbBrunei Darussalam,Brunei Darussalam,2000,Hepbb,EAPR,99,7000,8000,346782
3811,3811,4894,2000HepbbBulgaria,Bulgaria,2000,Hepbb,CEECIS,98,64000,65000,7837161
5725,5725,8097,2000HepbbCuba,Cuba,2000,Hepbb,LACR,99,144000,145000,11199651
8849,8849,15221,2000HepbbIsrael,Israel,2000,Hepbb,Industrialized,96,121000,126000,6570000
9267,9267,16128,2000HepbbKazakhstan,Kazakhstan,2000,Hepbb,CEECIS,98,232000,236000,14858948
9685,9685,16512,2000HepbbKiribati,Kiribati,2000,Hepbb,EAPR,80,2000,3000,87305
10103,10103,16724,2000HepbbKuwait,Kuwait,2000,Hepbb,MENA,94,42000,44000,2136997
10323,10323,17288,2000HepbbLatvia,Latvia,2000,Hepbb,Industrialized,98,19000,19000,2310173
10741,10741,17486,2000HepbbLebanon,Lebanon,2000,Hepbb,MENA,90,75000,84000,4182205
11159,11159,18206,2000HepbbLithuania,Lithuania,2000,Hepbb,Industrialized,99,33000,33000,3443067
11577,11577,18909,2000HepbbMalaysia,Malaysia,2000,Hepbb,EAPR,92,467000,508000,24208391
12237,12237,20818,2000HepbbMongolia,Mongolia,2000,Hepbb,EAPR,96,44000,46000,2443271
13007,13007,23400,2000HepbbOman,Oman,2000,Hepbb,MENA,99,55000,56000,2334858
14723,14723,25004,2000HepbbPoland,Poland,2000,Hepbb,Industrialized,95,359000,378000,38230364
15141,15141,25214,2000HepbbPortugal,Portugal,2000,Hepbb,Industrialized,64,72000,113000,10419631
15559,15559,25450,2000HepbbQatar,Qatar,2000,Hepbb,MENA,99,12000,12000,640868
15977,15977,26241,2000HepbbRomania,Romania,2000,Hepbb,CEECIS,99,214000,217000,21730496
16395,16395,27357,2000HepbbSamoa,Samoa,2000,Hepbb,EAPR,86,5000,5000,176407
19123,19123,32040,2000HepbbTonga,Tonga,2000,Hepbb,EAPR,89,2000,3000,99022
20927,20927,33580,2000HepbbUnited Arab Emirates,United Arab Emirates,2000,Hepbb,MENA,98,52000,53000,3478777
512,512,349,2000HepbbAlbania,Albania,2000,Hepbb,CEECIS,98,50000,51000,3039616
1590,1590,1487,2000HepbbArmenia,Armenia,2000,Hepbb,CEECIS,97,38000,40000,3017932
2976,2976,4473,2000HepbbBrazil,Brazil,2000,Hepbb,LACR,99,3479000,3514000,181809246
3394,3394,4683,2000HepbbBrunei Darussalam,Brunei Darussalam,2000,Hepbb,EAPR,99,7000,8000,353293
3812,3812,4894,2000HepbbBulgaria,Bulgaria,2000,Hepbb,CEECIS,98,64000,65000,7775327
5726,5726,8097,2000HepbbCuba,Cuba,2000,Hepbb,LACR,99,144000,145000,11229183
8850,8850,15221,2000HepbbIsrael,Israel,2000,Hepbb,Industrialized,96,121000,126000,6689700
9268,9268,16128,2000HepbbKazakhstan,Kazakhstan,2000,Hepbb,CEECIS,98,232000,236000,14909018
9686,9686,16512,2000HepbbKiribati,Kiribati,2000,Hepbb,EAPR,80,2000,3000,88835
10104,10104,16724,2000HepbbKuwait,Kuwait,2000,Hepbb,MENA,94,42000,44000,2161626
10324,10324,17288,2000HepbbLatvia,Latvia,2000,Hepbb,Industrialized,98,19000,19000,2287955
10742,10742,17486,2000HepbbLebanon,Lebanon,2000,Hepbb,MENA,90,75000,84000,4388375
11160,11160,18206,2000HepbbLithuania,Lithuania,2000,Hepbb,Industrialized,99,33000,33000,3415213
11578,11578,18909,2000HepbbMalaysia,Malaysia,2000,Hepbb,EAPR,92,467000,508000,24698819
12238,12238,20818,2000HepbbMongolia,Mongolia,2000,Hepbb,EAPR,96,44000,46000,2468762
13008,13008,23400,2000HepbbOman,Oman,2000,Hepbb,MENA,99,55000,56000,2386166
14724,14724,25004,2000HepbbPoland,Poland,2000,Hepbb,Industrialized,95,359000,378000,38204570
15142,15142,25214,2000HepbbPortugal,Portugal,2000,Hepbb,Industrialized,64,72000,113000,10458821
15560,15560,25450,2000HepbbQatar,Qatar,2000,Hepbb,MENA,99,12000,12000,681788
15978,15978,26241,2000HepbbRomania,Romania,2000,Hepbb,CEECIS,99,214000,217000,21574326
16396,16396,27357,2000HepbbSamoa,Samoa,2000,Hepbb,EAPR,86,5000,5000,177484
19124,19124,32040,2000HepbbTonga,Tonga,2000,Hepbb,EAPR,89,2000,3000,99589
20928,20928,33580,2000HepbbUnited Arab Emirates,United Arab Emirates,2000,Hepbb,MENA,98,52000,53000,3711932
513,513,349,2000HepbbAlbania,Albania,2000,Hepbb,CEECIS,98,50000,51000,3026939
1591,1591,1487,2000HepbbArmenia,Armenia,2000,Hepbb,CEECIS,97,38000,40000,3000720
2977,2977,4473,2000HepbbBrazil,Brazil,2000,Hepbb,LACR,99,3479000,3514000,184006481
3395,3395,4683,2000HepbbBrunei Darussalam,Brunei Darussalam,2000,Hepbb,EAPR,99,7000,8000,359433
3813,3813,4894,2000HepbbBulgaria,Bulgaria,2000,Hepbb,CEECIS,98,64000,65000,7716860
5727,5727,8097,2000HepbbCuba,Cuba,2000,Hepbb,LACR,99,144000,145000,11250365
8851,8851,15221,2000HepbbIsrael,Israel,2000,Hepbb,Industrialized,96,121000,126000,6809000
9269,9269,16128,2000HepbbKazakhstan,Kazakhstan,2000,Hepbb,CEECIS,98,232000,236000,15012985
9687,9687,16512,2000HepbbKiribati,Kiribati,2000,Hepbb,EAPR,80,2000,3000,90499
10105,10105,16724,2000HepbbKuwait,Kuwait,2000,Hepbb,MENA,94,42000,44000,2200492
10325,10325,17288,2000HepbbLatvia,Latvia,2000,Hepbb,Industrialized,98,19000,19000,2263122
10743,10743,17486,2000HepbbLebanon,Lebanon,2000,Hepbb,MENA,90,75000,84000,4569378
11161,11161,18206,2000HepbbLithuania,Lithuania,2000,Hepbb,Industrialized,99,33000,33000,3377075
11579,11579,18909,2000HepbbMalaysia,Malaysia,2000,Hepbb,EAPR,92,467000,508000,25190652
12239,12239,20818,2000HepbbMongolia,Mongolia,2000,Hepbb,EAPR,96,44000,46000,2496391
13009,13009,23400,2000HepbbOman,Oman,2000,Hepbb,MENA,99,55000,56000,2445517
14725,14725,25004,2000HepbbPoland,Poland,2000,Hepbb,Industrialized,95,359000,378000,38182222
15143,15143,25214,2000HepbbPortugal,Portugal,2000,Hepbb,Industrialized,64,72000,113000,10483861
15561,15561,25450,2000HepbbQatar,Qatar,2000,Hepbb,MENA,99,12000,12000,753334
15979,15979,26241,2000HepbbRomania,Romania,2000,Hepbb,CEECIS,99,214000,217000,21451748
16397,16397,27357,2000HepbbSamoa,Samoa,2000,Hepbb,EAPR,86,5000,5000,178590
19125,19125,32040,2000HepbbTonga,Tonga,2000,Hepbb,EAPR,89,2000,3000,100218
20929,20929,33580,2000HepbbUnited Arab Emirates,United Arab Emirates,2000,Hepbb,MENA,98,52000,53000,4068570
514,514,349,2000HepbbAlbania,Albania,2000,Hepbb,CEECIS,98,50000,51000,3011487
1592,1592,1487,2000HepbbArmenia,Armenia,2000,Hepbb,CEECIS,97,38000,40000,2981269
2978,2978,4473,2000HepbbBrazil,Brazil,2000,Hepbb,LACR,99,3479000,3514000,186127103
3396,3396,4683,2000HepbbBrunei Darussalam,Brunei Darussalam,2000,Hepbb,EAPR,99,7000,8000,365114
3814,3814,4894,2000HepbbBulgaria,Bulgaria,2000,Hepbb,CEECIS,98,64000,65000,7658972
5728,5728,8097,2000HepbbCuba,Cuba,2000,Hepbb,LACR,99,144000,145000,11261582
8852,8852,15221,2000HepbbIsrael,Israel,2000,Hepbb,Industrialized,96,121000,126000,6930100
9270,9270,16128,2000HepbbKazakhstan,Kazakhstan,2000,Hepbb,CEECIS,98,232000,236000,15147029
9688,9688,16512,2000HepbbKiribati,Kiribati,2000,Hepbb,EAPR,80,2000,3000,92325
10106,10106,16724,2000HepbbKuwait,Kuwait,2000,Hepbb,MENA,94,42000,44000,2270198
10326,10326,17288,2000HepbbLatvia,Latvia,2000,Hepbb,Industrialized,98,19000,19000,2238799
10744,10744,17486,2000HepbbLebanon,Lebanon,2000,Hepbb,MENA,90,75000,84000,4698763
11162,11162,18206,2000HepbbLithuania,Lithuania,2000,Hepbb,Industrialized,99,33000,33000,3322528
11580,11580,18909,2000HepbbMalaysia,Malaysia,2000,Hepbb,EAPR,92,467000,508000,25690611
12240,12240,20818,2000HepbbMongolia,Mongolia,2000,Hepbb,EAPR,96,44000,46000,2526424
13010,13010,23400,2000HepbbOman,Oman,2000,Hepbb,MENA,99,55000,56000,2511251
14726,14726,25004,2000HepbbPoland,Poland,2000,Hepbb,Industrialized,95,359000,378000,38165445
15144,15144,25214,2000HepbbPortugal,Portugal,2000,Hepbb,Industrialized,64,72000,113000,10503330
15562,15562,25450,2000HepbbQatar,Qatar,2000,Hepbb,MENA,99,12000,12000,865416
15980,15980,26241,2000HepbbRomania,Romania,2000,Hepbb,CEECIS,99,214000,217000,21319685
16398,16398,27357,2000HepbbSamoa,Samoa,2000,Hepbb,EAPR,86,5000,5000,179727
19126,19126,32040,2000HepbbTonga,Tonga,2000,Hepbb,EAPR,89,2000,3000,100905
20930,20930,33580,2000HepbbUnited Arab Emirates,United Arab Emirates,2000,Hepbb,MENA,98,52000,53000,4588225
515,515,349,2000HepbbAlbania,Albania,2000,Hepbb,CEECIS,98,50000,51000,2992547
1593,1593,1487,2000HepbbArmenia,Armenia,2000,Hepbb,CEECIS,97,38000,40000,2958307
2979,2979,4473,2000HepbbBrazil,Brazil,2000,Hepbb,LACR,99,3479000,3514000,188167356
3397,3397,4683,2000HepbbBrunei Darussalam,Brunei Darussalam,2000,Hepbb,EAPR,99,7000,8000,370263
3815,3815,4894,2000HepbbBulgaria,Bulgaria,2000,Hepbb,CEECIS,98,64000,65000,7601022
5729,5729,8097,2000HepbbCuba,Cuba,2000,Hepbb,LACR,99,144000,145000,11261248
8853,8853,15221,2000HepbbIsrael,Israel,2000,Hepbb,Industrialized,96,121000,126000,7053700
9271,9271,16128,2000HepbbKazakhstan,Kazakhstan,2000,Hepbb,CEECIS,98,232000,236000,15308084
9689,9689,16512,2000HepbbKiribati,Kiribati,2000,Hepbb,EAPR,80,2000,3000,94343
10107,10107,16724,2000HepbbKuwait,Kuwait,2000,Hepbb,MENA,94,42000,44000,2373672
10327,10327,17288,2000HepbbLatvia,Latvia,2000,Hepbb,Industrialized,98,19000,19000,2218357
10745,10745,17486,2000HepbbLebanon,Lebanon,2000,Hepbb,MENA,90,75000,84000,4759753
11163,11163,18206,2000HepbbLithuania,Lithuania,2000,Hepbb,Industrialized,99,33000,33000,3269909
11581,11581,18909,2000HepbbMalaysia,Malaysia,2000,Hepbb,EAPR,92,467000,508000,26201961
12241,12241,20818,2000HepbbMongolia,Mongolia,2000,Hepbb,EAPR,96,44000,46000,2558856
13011,13011,23400,2000HepbbOman,Oman,2000,Hepbb,MENA,99,55000,56000,2580758
14727,14727,25004,2000HepbbPoland,Poland,2000,Hepbb,Industrialized,95,359000,378000,38141267
15145,15145,25214,2000HepbbPortugal,Portugal,2000,Hepbb,Industrialized,64,72000,113000,10522288
15563,15563,25450,2000HepbbQatar,Qatar,2000,Hepbb,MENA,99,12000,12000,1022711
15981,15981,26241,2000HepbbRomania,Romania,2000,Hepbb,CEECIS,99,214000,217000,21193760
16399,16399,27357,2000HepbbSamoa,Samoa,2000,Hepbb,EAPR,86,5000,5000,180876
19127,19127,32040,2000HepbbTonga,Tonga,2000,Hepbb,EAPR,89,2000,3000,101706
20931,20931,33580,2000HepbbUnited Arab Emirates,United Arab Emirates,2000,Hepbb,MENA,98,52000,53000,5300174
516,516,349,2000HepbbAlbania,Albania,2000,Hepbb,CEECIS,98,50000,51000,2970017
1594,1594,1487,2000HepbbArmenia,Armenia,2000,Hepbb,CEECIS,97,38000,40000,2932618
2980,2980,4473,2000HepbbBrazil,Brazil,2000,Hepbb,LACR,99,3479000,3514000,190130443
3398,3398,4683,2000HepbbBrunei Darussalam,Brunei Darussalam,2000,Hepbb,EAPR,99,7000,8000,374965
3816,3816,4894,2000HepbbBulgaria,Bulgaria,2000,Hepbb,CEECIS,98,64000,65000,7545338
5730,5730,8097,2000HepbbCuba,Cuba,2000,Hepbb,LACR,99,144000,145000,11251122
8854,8854,15221,2000HepbbIsrael,Israel,2000,Hepbb,Industrialized,96,121000,126000,7180100
9272,9272,16128,2000HepbbKazakhstan,Kazakhstan,2000,Hepbb,CEECIS,98,232000,236000,15484192
9690,9690,16512,2000HepbbKiribati,Kiribati,2000,Hepbb,EAPR,80,2000,3000,96527
10108,10108,16724,2000HepbbKuwait,Kuwait,2000,Hepbb,MENA,94,42000,44000,2504019
10328,10328,17288,2000HepbbLatvia,Latvia,2000,Hepbb,Industrialized,98,19000,19000,2200325
10746,10746,17486,2000HepbbLebanon,Lebanon,2000,Hepbb,MENA,90,75000,84000,4767344
11164,11164,18206,2000HepbbLithuania,Lithuania,2000,Hepbb,Industrialized,99,33000,33000,3231294
11582,11582,18909,2000HepbbMalaysia,Malaysia,2000,Hepbb,EAPR,92,467000,508000,26720370
12242,12242,20818,2000HepbbMongolia,Mongolia,2000,Hepbb,EAPR,96,44000,46000,2593820
13012,13012,23400,2000HepbbOman,Oman,2000,Hepbb,MENA,99,55000,56000,2657158
14728,14728,25004,2000HepbbPoland,Poland,2000,Hepbb,Industrialized,95,359000,378000,38120560
15146,15146,25214,2000HepbbPortugal,Portugal,2000,Hepbb,Industrialized,64,72000,113000,10542964
15564,15564,25450,2000HepbbQatar,Qatar,2000,Hepbb,MENA,99,12000,12000,1218434
15982,15982,26241,2000HepbbRomania,Romania,2000,Hepbb,CEECIS,99,214000,217000,20882982
16400,16400,27357,2000HepbbSamoa,Samoa,2000,Hepbb,EAPR,86,5000,5000,182046
19128,19128,32040,2000HepbbTonga,Tonga,2000,Hepbb,EAPR,89,2000,3000,102581
20932,20932,33580,2000HepbbUnited Arab Emirates,United Arab Emirates,2000,Hepbb,MENA,98,52000,53000,6168838
517,517,349,2000HepbbAlbania,Albania,2000,Hepbb,CEECIS,98,50000,51000,2947314
1595,1595,1487,2000HepbbArmenia,Armenia,2000,Hepbb,CEECIS,97,38000,40000,2907618
2981,2981,4473,2000HepbbBrazil,Brazil,2000,Hepbb,LACR,99,3479000,3514000,192030362
3399,3399,4683,2000HepbbBrunei Darussalam,Brunei Darussalam,2000,Hepbb,EAPR,99,7000,8000,379421
3817,3817,4894,2000HepbbBulgaria,Bulgaria,2000,Hepbb,CEECIS,98,64000,65000,7492561
5731,5731,8097,2000HepbbCuba,Cuba,2000,Hepbb,LACR,99,144000,145000,11236971
8855,8855,15221,2000HepbbIsrael,Israel,2000,Hepbb,Industrialized,96,121000,126000,7308800
9273,9273,16128,2000HepbbKazakhstan,Kazakhstan,2000,Hepbb,CEECIS,98,232000,236000,15674000
9691,9691,16512,2000HepbbKiribati,Kiribati,2000,Hepbb,EAPR,80,2000,3000,98761
10109,10109,16724,2000HepbbKuwait,Kuwait,2000,Hepbb,MENA,94,42000,44000,2656009
10329,10329,17288,2000HepbbLatvia,Latvia,2000,Hepbb,Industrialized,98,19000,19000,2177322
10747,10747,17486,2000HepbbLebanon,Lebanon,2000,Hepbb,MENA,90,75000,84000,4764741
11165,11165,18206,2000HepbbLithuania,Lithuania,2000,Hepbb,Industrialized,99,33000,33000,3198231
