Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
2015IPV1Burundi,Burundi,2015,IPV1,ESAR,4,16000,397000,9540289
2015IPV1Guyana,Guyana,2015,IPV1,LACR,31,5000,15000,759285
2015IPV1Grenada,Grenada,2015,IPV1,LACR,54,1000,2000,108170
2015IPV1Georgia,Georgia,2015,IPV1,CEECIS,10,6000,56000,3717668
2015IPV1Ecuador,Ecuador,2015,IPV1,LACR,3,10000,328000,15707474
2015IPV1Dominican Republic,Dominican Republic,2015,IPV1,LACR,6,12000,203000,10048224
2015IPV1Cote d'Ivoire,Cote d'Ivoire,2015,IPV1,WCAR,27,214000,794000,22087505
2015IPV1Comoros,Comoros,2015,IPV1,ESAR,91,22000,24000,741505
2015IPV1Colombia,Colombia,2015,IPV1,LACR,92,674000,732000,46497267
2015IPV1Chad,Chad,2015,IPV1,WCAR,28,159000,569000,13220424
2015IPV1Central African Republic,Central African Republic,2015,IPV1,WCAR,2,3000,151000,4447942
2015IPV1Guinea,Guinea,2015,IPV1,WCAR,8,33000,407000,10892810
2015IPV1Botswana,Botswana,2015,IPV1,ESAR,8,4000,55000,2039551
2015IPV1South Africa,South Africa,2015,IPV1,ESAR,91,1061000,1166000,52834005
2015IPV1Singapore,Singapore,2015,IPV1,EAPR,98,50000,51000,5312437
2015IPV1Kiribati,Kiribati,2015,IPV1,EAPR,52,2000,3000,106370
2015IPV1Kazakhstan,Kazakhstan,2015,IPV1,CEECIS,99,384000,388000,16792089
2015IPV1Jordan,Jordan,2015,IPV1,MENA,99,214000,217000,8090872
2015IPV1Jamaica,Jamaica,2015,IPV1,LACR,33,16000,47000,2842132
2015IPV1Israel,Israel,2015,IPV1,Industrialized,95,159000,168000,7910500
2015IPV1India,India,2015,IPV1,ROSA,1,236000,23558000,1265782790
2015IPV1Honduras,Honduras,2015,IPV1,LACR,9,18000,201000,8640691
2015IPV1Guyana,Guyana,2015,IPV1,LACR,31,5000,15000,755399
2015IPV1Guinea,Guinea,2015,IPV1,WCAR,8,33000,407000,10652029
2015IPV1Kuwait,Kuwait,2015,IPV1,MENA,97,58000,60000,3348853
2015IPV1Grenada,Grenada,2015,IPV1,LACR,54,1000,2000,107446
2015IPV1Ecuador,Ecuador,2015,IPV1,LACR,3,10000,328000,15474102
2015IPV1Dominican Republic,Dominican Republic,2015,IPV1,LACR,6,12000,203000,9930911
2015IPV1Cote d'Ivoire,Cote d'Ivoire,2015,IPV1,WCAR,27,214000,794000,21547188
2015IPV1Comoros,Comoros,2015,IPV1,ESAR,91,22000,24000,723871
2015IPV1Colombia,Colombia,2015,IPV1,LACR,92,674000,732000,46076848
2015IPV1Chad,Chad,2015,IPV1,WCAR,28,159000,569000,12784750
2015IPV1Central African Republic,Central African Republic,2015,IPV1,WCAR,2,3000,151000,4436415
2015IPV1Cameroon,Cameroon,2015,IPV1,WCAR,31,250000,806000,21485266
2015IPV1Burundi,Burundi,2015,IPV1,ESAR,4,16000,397000,9245988
2015IPV1Georgia,Georgia,2015,IPV1,CEECIS,10,6000,56000,3728874
2015IPV1Solomon Islands,Solomon Islands,2015,IPV1,EAPR,7,1000,20000,556064
2015IPV1Lebanon,Lebanon,2015,IPV1,MENA,96,106000,110000,5538634
2015IPV1Madagascar,Madagascar,2015,IPV1,ESAR,30,235000,785000,22346641
2015IPV1Seychelles,Seychelles,2015,IPV1,ESAR,35,1000,2000,88303
2015IPV1Serbia,Serbia,2015,IPV1,CEECIS,98,83000,85000,7199077
2015IPV1Senegal,Senegal,2015,IPV1,WCAR,81,414000,511000,13401991
2015IPV1Saudi Arabia,Saudi Arabia,2015,IPV1,MENA,98,595000,607000,29155187
2015IPV1Russian Federation,Russian Federation,2015,IPV1,CEECIS,97,1829000,1885000,143201676
2015IPV1Qatar,Qatar,2015,IPV1,MENA,96,24000,25000,2196074
2015IPV1Peru,Peru,2015,IPV1,LACR,98,551000,562000,29506788
2015IPV1Panama,Panama,2015,IPV1,LACR,80,62000,78000,3770624
2015IPV1Pakistan,Pakistan,2015,IPV1,ROSA,20,1089000,5445000,187281475
2015IPV1Libya,Libya,2015,IPV1,MENA,98,128000,131000,6285750
2015IPV1Oman,Oman,2015,IPV1,MENA,99,85000,86000,3498029
2015IPV1Niger,Niger,2015,IPV1,WCAR,27,244000,905000,17795191
2015IPV1Nicaragua,Nicaragua,2015,IPV1,LACR,9,12000,134000,5982526
2015IPV1Nepal,Nepal,2015,IPV1,ROSA,59,327000,554000,26989862
2015IPV1Myanmar,Myanmar,2015,IPV1,EAPR,8,73000,911000,51413698
2015IPV1Morocco,Morocco,2015,IPV1,MENA,33,227000,688000,33241898
2015IPV1Montenegro,Montenegro,2015,IPV1,CEECIS,96,7000,7000,620601
2015IPV1Mexico,Mexico,2015,IPV1,LACR,99,2208000,2230000,117274155
2015IPV1Mauritania,Mauritania,2015,IPV1,WCAR,6,8000,134000,3706554
2015IPV1Maldives,Maldives,2015,IPV1,ROSA,82,6000,7000,397237
2015IPV1Nigeria,Nigeria,2015,IPV1,WCAR,45,2993000,6651000,167228767
2015IPV1Serbia,Serbia,2015,IPV1,CEECIS,98,83000,85000,7291436
2015IPV1Senegal,Senegal,2015,IPV1,WCAR,81,414000,511000,12678148
2015IPV1Saudi Arabia,Saudi Arabia,2015,IPV1,MENA,98,595000,607000,27421461
2015IPV1Vanuatu,Vanuatu,2015,IPV1,EAPR,4,500,8000,224704
2015IPV1United Arab Emirates,United Arab Emirates,2015,IPV1,MENA,99,100000,101000,7089487
2015IPV1Ukraine,Ukraine,2015,IPV1,CEECIS,59,271000,460000,46258200
2015IPV1Turkey,Turkey,2015,IPV1,CEECIS,97,1261000,1300000,70418604
2015IPV1Tunisia,Tunisia,2015,IPV1,MENA,98,202000,207000,10414433
2015IPV1Trinidad and Tobago,Trinidad and Tobago,2015,IPV1,LACR,6,1000,19000,1314443
2015IPV1Tonga,Tonga,2015,IPV1,EAPR,34,1000,3000,103379
2015IPV1Syrian Arab Republic,Syrian Arab Republic,2015,IPV1,MENA,59,268000,455000,20664038
2015IPV1Suriname,Suriname,2015,IPV1,LACR,12,1000,11000,517123
2015IPV1Albania,Albania,2015,IPV1,CEECIS,99,35000,35000,2927519
2015IPV1Sudan,Sudan,2015,IPV1,MENA,69,855000,1239000,33060837
2015IPV1South Sudan,South Sudan,2015,IPV1,ESAR,3,11000,358000,8736939
2015IPV1South Africa,South Africa,2015,IPV1,ESAR,91,1061000,1166000,49779471
2015IPV1Solomon Islands,Solomon Islands,2015,IPV1,EAPR,7,1000,20000,503360
2015IPV1Singapore,Singapore,2015,IPV1,EAPR,98,50000,51000,4839396
2015IPV1Seychelles,Seychelles,2015,IPV1,ESAR,35,1000,2000,86956
2015IPV1Serbia,Serbia,2015,IPV1,CEECIS,98,83000,85000,7350222
2015IPV1Senegal,Senegal,2015,IPV1,WCAR,81,414000,511000,12004701
2015IPV1Saudi Arabia,Saudi Arabia,2015,IPV1,MENA,98,595000,607000,25888541
2015IPV1Russian Federation,Russian Federation,2015,IPV1,CEECIS,97,1829000,1885000,142742350
2015IPV1Sri Lanka,Sri Lanka,2015,IPV1,ROSA,47,162000,344000,19983984
2015IPV1Qatar,Qatar,2015,IPV1,MENA,96,24000,25000,1436665
2015IPV1Algeria,Algeria,2015,IPV1,MENA,8,79000,991000,35333881
2015IPV1Bahrain,Bahrain,2015,IPV1,MENA,98,21000,21000,1185076
2015IPV1Guyana,Guyana,2015,IPV1,LACR,31,5000,15000,747718
