,Unnamed: 0,0,Unnamed: 0.1,Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
841,232,232,411,2015IPV1Algeria,Algeria,2015,IPV1,MENA,8,79000,991000,35333881
843,628,628,2287,2015IPV1Bahrain,Bahrain,2015,IPV1,MENA,98,21000,21000,1185076
863,3334,3334,13284,2015IPV1Guyana,Guyana,2015,IPV1,LACR,31,5000,15000,747718
862,3180,3180,12968,2015IPV1Guinea,Guinea,2015,IPV1,WCAR,8,33000,407000,9964469
861,3026,3026,12613,2015IPV1Grenada,Grenada,2015,IPV1,LACR,54,1000,2000,105789
860,2916,2916,11863,2015IPV1Georgia,Georgia,2015,IPV1,CEECIS,10,6000,56000,3814419
859,2432,2432,9540,2015IPV1Ecuador,Ecuador,2015,IPV1,LACR,3,10000,328000,14774424
858,2344,2344,9336,2015IPV1Dominican Republic,Dominican Republic,2015,IPV1,LACR,6,12000,203000,9576737
857,2124,2124,7597,2015IPV1Cote d'Ivoire,Cote d'Ivoire,2015,IPV1,WCAR,27,214000,794000,20059147
856,2058,2058,6876,2015IPV1Comoros,Comoros,2015,IPV1,ESAR,91,22000,24000,673252
855,1970,1970,6661,2015IPV1Colombia,Colombia,2015,IPV1,LACR,92,674000,732000,44750054
842,342,342,939,2015IPV1Antigua and Barbuda,Antigua and Barbuda,2015,IPV1,LACR,21,500,1000,86746
854,1772,1772,6127,2015IPV1Chad,Chad,2015,IPV1,WCAR,28,159000,569000,11560147
852,1596,1596,5635,2015IPV1Cameroon,Cameroon,2015,IPV1,WCAR,31,250000,806000,19789919
851,1398,1398,5136,2015IPV1Burundi,Burundi,2015,IPV1,ESAR,4,16000,397000,8397668
850,1310,1310,4293,2015IPV1Brazil,Brazil,2015,IPV1,LACR,97,2831000,2918000,193886508
849,1222,1222,4119,2015IPV1Botswana,Botswana,2015,IPV1,ESAR,8,4000,55000,1953498
848,1134,1134,3928,2015IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2015,IPV1,CEECIS,56,17000,30000,3735938
847,1046,1046,3555,2015IPV1Bhutan,Bhutan,2015,IPV1,ROSA,43,5000,13000,678323
846,958,958,3381,2015IPV1Benin,Benin,2015,IPV1,WCAR,31,115000,371000,8944708
845,870,870,3194,2015IPV1Belize,Belize,2015,IPV1,LACR,7,1000,8000,314655
844,716,716,2486,2015IPV1Bangladesh,Bangladesh,2015,IPV1,ROSA,51,1482000,2906000,145924797
853,1684,1684,5966,2015IPV1Central African Republic,Central African Republic,2015,IPV1,WCAR,2,3000,151000,4337625
864,3488,3488,13656,2015IPV1Honduras,Honduras,2015,IPV1,LACR,9,18000,201000,8150775
818,6237,6237,24452,2015IPV1Peru,Peru,2015,IPV1,LACR,98,551000,562000,28562317
816,5929,5929,23463,2015IPV1Pakistan,Pakistan,2015,IPV1,ROSA,20,1089000,5445000,171648986
791,3025,3025,12613,2015IPV1Grenada,Grenada,2015,IPV1,LACR,54,1000,2000,105456
790,2915,2915,11863,2015IPV1Georgia,Georgia,2015,IPV1,CEECIS,10,6000,56000,3848449
789,2431,2431,9540,2015IPV1Ecuador,Ecuador,2015,IPV1,LACR,3,10000,328000,14535739
788,2343,2343,9336,2015IPV1Dominican Republic,Dominican Republic,2015,IPV1,LACR,6,12000,203000,9458075
787,2123,2123,7597,2015IPV1Cote d'Ivoire,Cote d'Ivoire,2015,IPV1,WCAR,27,214000,794000,19605569
786,2057,2057,6876,2015IPV1Comoros,Comoros,2015,IPV1,ESAR,91,22000,24000,657229
785,1969,1969,6661,2015IPV1Colombia,Colombia,2015,IPV1,LACR,92,674000,732000,44254975
