,0,0.1,Unnamed: 0,Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
562,20385,20385,17488,2000MCV2Lebanon,Lebanon,2000,MCV2,MENA,56,48000,85000,4953061
563,21595,21595,18209,2000MCV2Lithuania,Lithuania,2000,MCV2,Industrialized,97,35000,37000,3097282
564,23509,23509,20217,2000MCV2Mexico,Mexico,2000,MCV2,LACR,98,2245000,2291000,114092963
565,23927,23927,20820,2000MCV2Mongolia,Mongolia,2000,MCV2,EAPR,75,35000,46000,2719896
566,25907,25907,23182,2000MCV2Norway,Norway,2000,MCV2,Industrialized,90,52000,58000,4889252
567,26325,26325,23402,2000MCV2Oman,Oman,2000,MCV2,MENA,99,56000,57000,3041434
568,26963,26963,24013,2000MCV2Panama,Panama,2000,MCV2,LACR,88,55000,62000,3642687
569,28173,28173,25006,2000MCV2Poland,Poland,2000,MCV2,Industrialized,96,397000,414000,38042794
570,28591,28591,25217,2000MCV2Portugal,Portugal,2000,MCV2,Industrialized,48,51000,105000,10573100
571,29383,29383,26243,2000MCV2Romania,Romania,2000,MCV2,CEECIS,96,236000,246000,20246871
572,29801,29801,26418,2000MCV2Russian Federation,Russian Federation,2000,MCV2,CEECIS,86,1261000,1466000,142849449
573,31297,31297,28308,2000MCV2Serbia,Serbia,2000,MCV2,CEECIS,78,117000,150000,7291436
574,32199,32199,28861,2000MCV2Singapore,Singapore,2000,MCV2,EAPR,98,48000,49000,5076732
575,32617,32617,29219,2000MCV2Slovenia,Slovenia,2000,MCV2,Industrialized,98,19000,19000,2048583
550,3929,3929,2425,2000MCV2Bahrain,Bahrain,2000,MCV2,MENA,92,14000,15000,1240860
520,20384,20384,17488,2000MCV2Lebanon,Lebanon,2000,MCV2,MENA,56,48000,85000,4813026
549,3115,3115,1853,2000MCV2Austria,Austria,2000,MCV2,Industrialized,35,33000,95000,8363404
547,1949,1949,1277,2000MCV2Argentina,Argentina,2000,MCV2,LACR,56,394000,704000,40788453
522,23508,23508,20217,2000MCV2Mexico,Mexico,2000,MCV2,LACR,98,2245000,2291000,112463887
523,23926,23926,20820,2000MCV2Mongolia,Mongolia,2000,MCV2,EAPR,75,35000,46000,2673796
524,25906,25906,23182,2000MCV2Norway,Norway,2000,MCV2,Industrialized,90,52000,58000,4828726
525,26324,26324,23402,2000MCV2Oman,Oman,2000,MCV2,MENA,99,56000,57000,2876186
526,26962,26962,24013,2000MCV2Panama,Panama,2000,MCV2,LACR,88,55000,62000,3579215
527,28172,28172,25006,2000MCV2Poland,Poland,2000,MCV2,Industrialized,96,397000,414000,38151603
528,28590,28590,25217,2000MCV2Portugal,Portugal,2000,MCV2,Industrialized,48,51000,105000,10568247
529,29382,29382,26243,2000MCV2Romania,Romania,2000,MCV2,CEECIS,96,236000,246000,20367487
530,29800,29800,26418,2000MCV2Russian Federation,Russian Federation,2000,MCV2,CEECIS,86,1261000,1466000,142785342
531,31296,31296,28308,2000MCV2Serbia,Serbia,2000,MCV2,CEECIS,78,117000,150000,7320807
532,32198,32198,28861,2000MCV2Singapore,Singapore,2000,MCV2,EAPR,98,48000,49000,4987573
533,32616,32616,29219,2000MCV2Slovenia,Slovenia,2000,MCV2,Industrialized,98,19000,19000,2039669
534,33056,33056,29713,2000MCV2South Africa,South Africa,2000,MCV2,ESAR,62,599000,966000,50477011
535,34486,34486,30846,2000MCV2Sweden,Sweden,2000,MCV2,Industrialized,94,109000,116000,9298515
536,35212,35212,31198,2000MCV2Syrian Arab Republic,Syrian Arab Republic,2000,MCV2,MENA,80,386000,482000,21205873
537,35630,35630,31392,2000MCV2Tajikistan,Tajikistan,2000,MCV2,CEECIS,59,104000,176000,7364753
538,36048,36048,31562,2000MCV2Thailand,Thailand,2000,MCV2,EAPR,99,1000000,1010000,66866839
539,37280,37280,32424,2000MCV2Tunisia,Tunisia,2000,MCV2,MENA,98,181000,184000,10525694
540,38094,38094,32814,2000MCV2Turkmenistan,Turkmenistan,2000,MCV2,CEECIS,92,106000,115000,5007954
541,38512,38512,33361,2000MCV2Ukraine,Ukraine,2000,MCV2,CEECIS,99,542000,548000,46053300
542,38930,38930,33583,2000MCV2United Arab Emirates,United Arab Emirates,2000,MCV2,MENA,92,49000,54000,7917372
543,39348,39348,33751,2000MCV2United Kingdom,United Kingdom,2000,MCV2,Industrialized,76,541000,711000,62276270
544,39766,39766,34119,2000MCV2United States,United States,2000,MCV2,Industrialized,85,3341000,3930000,306771529
545,40316,40316,34510,2000MCV2Uzbekistan,Uzbekistan,2000,MCV2,CEECIS,98,563000,574000,27767400
546,1135,1135,532,2000MCV2Algeria,Algeria,2000,MCV2,MENA,78,564000,723000,35977455
548,2367,2367,1489,2000MCV2Armenia,Armenia,2000,MCV2,CEECIS,94,40000,42000,2877319
692,25910,25910,23182,2000MCV2Norway,Norway,2000,MCV2,Industrialized,90,52000,58000,5079623
693,26328,26328,23402,2000MCV2Oman,Oman,2000,MCV2,MENA,99,56000,57000,3764805
694,26966,26966,24013,2000MCV2Panama,Panama,2000,MCV2,LACR,88,55000,62000,3835437
841,1956,1956,1277,2000MCV2Argentina,Argentina,2000,MCV2,LACR,56,394000,704000,44044811
842,2374,2374,1489,2000MCV2Armenia,Armenia,2000,MCV2,CEECIS,94,40000,42000,2944809
843,3122,3122,1853,2000MCV2Austria,Austria,2000,MCV2,Industrialized,35,33000,95000,8797566
844,3936,3936,2425,2000MCV2Bahrain,Bahrain,2000,MCV2,MENA,92,14000,15000,1494074
845,4904,4904,2956,2000MCV2Belarus,Belarus,2000,MCV2,CEECIS,92,100000,109000,9498264
846,6158,6158,4057,2000MCV2Bosnia and Herzegovina,Bosnia and Herzegovina,2000,MCV2,CEECIS,74,38000,51000,3351527
847,6708,6708,4476,2000MCV2Brazil,Brazil,2000,MCV2,LACR,95,3279000,3451000,207833831
848,7126,7126,4685,2000MCV2Brunei Darussalam,Brunei Darussalam,2000,MCV2,EAPR,95,6000,7000,424473
849,7544,7544,4896,2000MCV2Bulgaria,Bulgaria,2000,MCV2,CEECIS,83,88000,106000,7075947
850,9326,9326,6821,2000MCV2Colombia,Colombia,2000,MCV2,LACR,84,752000,895000,48901066
851,12186,12186,10553,2000MCV2Estonia,Estonia,2000,MCV2,Industrialized,89,11000,12000,1317384
852,15662,15662,13975,2000MCV2Hungary,Hungary,2000,MCV2,Industrialized,99,124000,126000,9787966
853,18522,18522,15925,2000MCV2Jordan,Jordan,2000,MCV2,MENA,83,125000,150000,9779173
854,18940,18940,16130,2000MCV2Kazakhstan,Kazakhstan,2000,MCV2,CEECIS,98,263000,269000,18037776
855,19974,19974,17291,2000MCV2Latvia,Latvia,2000,MCV2,Industrialized,90,26000,28000,1942248
856,20392,20392,17488,2000MCV2Lebanon,Lebanon,2000,MCV2,MENA,56,48000,85000,6811873
857,21602,21602,18209,2000MCV2Lithuania,Lithuania,2000,MCV2,Industrialized,97,35000,37000,2828403
858,23516,23516,20217,2000MCV2Mexico,Mexico,2000,MCV2,LACR,98,2245000,2291000,124777324
859,23934,23934,20820,2000MCV2Mongolia,Mongolia,2000,MCV2,EAPR,75,35000,46000,3113779
860,25914,25914,23182,2000MCV2Norway,Norway,2000,MCV2,Industrialized,90,52000,58000,5276968
861,26332,26332,23402,2000MCV2Oman,Oman,2000,MCV2,MENA,99,56000,57000,4665935
862,26970,26970,24013,2000MCV2Panama,Panama,2000,MCV2,LACR,88,55000,62000,4106771
863,28180,28180,25006,2000MCV2Poland,Poland,2000,MCV2,Industrialized,96,397000,414000,37974826
